outcome,feature,feature_label,mean_abs_shap,full_data_shap,boot_lo,boot_hi,boot_sd,boot_cv
stunting,poverty_incidence,Poverty incidence,0.256,0.106,0.0843,0.6747,0.1426,0.557
stunting,poverty_intensity,Poverty intensity,0.3125,0.324,0.2164,0.4532,0.0765,0.245
stunting,illiteracy_rate,Illiteracy rate,0.1979,0.2592,0.0692,0.3448,0.0785,0.397
stunting,nhis_uninsured_rate,NHIS-uninsured share,0.1311,0.1012,0.0724,0.2278,0.0384,0.293
stunting,employment_rate,Employment rate,0.2085,0.1854,0.1187,0.3197,0.054,0.259
stunting,under15_share,Under-15 share,2.3181,2.3248,1.8508,2.7994,0.2568,0.111
stunting,urbanicity,Urbanicity,0.0881,0.1394,0.0207,0.1654,0.0402,0.456
stunting,improved_water_pct,Improved water,1.2488,1.3682,0.9987,1.6272,0.1618,0.13
stunting,improved_sanitation_pct,Improved sanitation,0.7576,0.8273,0.4359,1.2352,0.2144,0.283
stunting,log_pop,Log population,0.1205,0.085,0.0657,0.1876,0.0399,0.331
anaemia,poverty_incidence,Poverty incidence,1.3347,1.3468,0.7589,1.8254,0.2853,0.214
anaemia,poverty_intensity,Poverty intensity,1.1832,1.1561,0.9305,1.4777,0.1741,0.147
anaemia,illiteracy_rate,Illiteracy rate,2.8488,2.7138,2.0325,3.6448,0.4143,0.145
anaemia,nhis_uninsured_rate,NHIS-uninsured share,0.2897,0.2867,0.2027,0.4297,0.0635,0.219
anaemia,employment_rate,Employment rate,0.4345,0.3923,0.2782,0.6654,0.1196,0.275
anaemia,under15_share,Under-15 share,0.8054,0.742,0.5569,1.0753,0.1369,0.17
anaemia,urbanicity,Urbanicity,0.0238,0.0238,0.0014,0.0678,0.019,0.8
anaemia,improved_water_pct,Improved water,0.5853,0.648,0.3959,0.8248,0.1108,0.189
anaemia,improved_sanitation_pct,Improved sanitation,5.5041,5.7054,4.7939,6.2995,0.4059,0.074
anaemia,log_pop,Log population,0.1526,0.1796,0.0964,0.2622,0.0424,0.278
iycf,poverty_incidence,Poverty incidence,0.2044,0.1679,0.0946,0.3374,0.0654,0.32
iycf,poverty_intensity,Poverty intensity,1.5808,1.6076,1.2657,1.851,0.1715,0.109
iycf,illiteracy_rate,Illiteracy rate,1.3082,1.4944,0.989,1.7265,0.2306,0.176
iycf,nhis_uninsured_rate,NHIS-uninsured share,0.3106,0.3282,0.1918,0.4271,0.0697,0.225
iycf,employment_rate,Employment rate,0.505,0.3692,0.2544,1.0402,0.2072,0.41
iycf,under15_share,Under-15 share,1.558,1.457,1.1344,1.9527,0.2468,0.158
iycf,urbanicity,Urbanicity,0.2496,0.3462,0.0961,0.5156,0.1259,0.504
iycf,improved_water_pct,Improved water,1.6191,1.7657,1.0636,2.4542,0.375,0.232
iycf,improved_sanitation_pct,Improved sanitation,0.7126,1.0402,0.4803,0.9669,0.1496,0.21
iycf,log_pop,Log population,0.1515,0.1044,0.0778,0.2627,0.0548,0.362
diarrhoea,poverty_incidence,Poverty incidence,0.2042,0.1938,0.1238,0.3529,0.0618,0.303
diarrhoea,poverty_intensity,Poverty intensity,0.2752,0.2758,0.1382,0.43,0.0804,0.292
diarrhoea,illiteracy_rate,Illiteracy rate,0.3508,0.4454,0.1965,0.6555,0.1235,0.352
diarrhoea,nhis_uninsured_rate,NHIS-uninsured share,0.9162,0.869,0.6088,1.2036,0.1519,0.166
diarrhoea,employment_rate,Employment rate,0.2403,0.2698,0.1218,0.4455,0.086,0.358
diarrhoea,under15_share,Under-15 share,2.7275,2.5631,2.3753,3.1365,0.2063,0.076
diarrhoea,urbanicity,Urbanicity,0.4038,0.4563,0.1835,0.6292,0.1351,0.335
diarrhoea,improved_water_pct,Improved water,0.993,1.1858,0.7208,1.2698,0.163,0.164
diarrhoea,improved_sanitation_pct,Improved sanitation,1.9576,2.2431,1.6188,2.2857,0.2003,0.102
diarrhoea,log_pop,Log population,0.1268,0.1018,0.0834,0.1998,0.0435,0.343
