Characteristic,Mean (SD),Median [IQR],Range
Poverty incidence (%),27.6 (13.4),25.8 [17.6-36.0],6.3-68.6
Poverty intensity (%),43.4 (1.7),43.1 [42.2-44.3],40.5-51.2
Illiteracy rate (%),29.0 (14.7),26.9 [17.9-40.5],5.4-60.8
NHIS-uninsured share (%),30.9 (13.5),30.2 [20.3-40.7],5.2-73.2
Employment rate (%),49.3 (8.2),50.7 [46.6-54.7],15.5-64.0
Under-15 population share (%),35.9 (4.9),35.9 [33.7-37.8],19.0-49.6
"Improved water (%, region)",89.1 (10.3),91.8 [88.4-96.8],59.3-98.5
"Improved sanitation (%, region)",64.5 (21.8),72.0 [51.7-84.7],21.9-91.4
Stunting - district posterior (%),16.4 (5.6),16.0 [11.9-18.4],7.5-34.6
Anaemia - district posterior (%),48.1 (11.7),45.1 [38.9-55.1],30.5-74.4
IYCF inadequacy - district posterior (%),76.2 (6.6),75.8 [72.2-79.5],58.5-91.8
Diarrhoea - district posterior (%),14.6 (6.2),12.7 [9.6-19.2],4.2-34.1
